"id","prior_prob_count","prior_percent_correct","score","hints","hint.y","complete","action"
172777,650,0.723076923,1,0,"0","1","2"
175658,1159,0.80069025,0.454545454545455,49,"1","1","1"
175669,1239,0.656981437,0.636363636363636,15,"1","1","2"
176151,1246,0.72953451,0.75,9,"1","1","3"
176165,1299,0.56812933,0.333333333333333,13,"1","1","1"
176168,1415,0.684805654,0.545454545454545,22,"1","1","2"
176461,753,0.499335989,0.363636363636364,23,"1","1","1"
176486,772,0.57642487,0.3,34,"1","1","2"
176488,529,0.674858223,0.421052631578947,44,"1","1","3"
176494,1226,0.644371941,0.25,35,"1","1","1"
176522,1206,0.647595357,0.583333333333333,22,"1","1","2"
176613,1139,0.696224759,0.5,47,"1","1","2"
176623,1326,0.781297134,0.8,10,"1","1","2"
176627,1195,0.710460251,0.416666666666667,26,"1","1","3"
176630,1192,0.61409396,0.352941176470588,39,"1","1","2"
177719,606,0.4669967,0.25,61,"1","1","2"
177725,596,0.498322148,0.307692307692308,27,"1","1","1"
191678,498,0.65060241,0.5,0,"0","1","3"
226336,1469,0.769060585,1,0,"0","1","1"
226440,1386,0.792388167,1,0,"0","1","3"
226444,1570,0.775159236,1,0,"0","1","3"
226724,846,0.752659574,0.833333333333333,5,"1","1","3"
226737,700,0.674285714,0.5,0,"0","1","1"
226822,1418,0.754760226,0.833333333333333,5,"1","1","2"
227012,1054,0.730313093,1,0,"0","1","1"
227014,1271,0.748623131,0.333333333333333,5,"1","1","2"
227114,1081,0.647548566,0.833333333333333,5,"1","1","3"
227979,1372,0.780612245,1,0,"0","1","2"
228539,1454,0.702372765,1,0,"0","1","3"
229152,395,0.794936709,1,0,"0","1","3"
229153,400,0.8225,0.833333333333333,0,"0","1","3"
229156,398,0.904522613,1,0,"0","1","3"
229157,398,0.834170854,0.833333333333333,6,"1","1","3"
229165,391,0.501278772,0.714285714285714,9,"1","1","1"
229166,392,0.74744898,0.666666666666667,0,"0","1","1"
229167,399,0.746867168,0.5,0,"0","1","3"
229170,399,0.897243108,1,0,"0","1","3"
229179,398,0.83919598,0.53125,52,"1","1","3"
229180,443,0.557562077,0.178571428571429,88,"1","1","2"
229182,313,0.552715655,0.136363636363636,78,"1","1","3"
229185,391,0.803069054,0.615384615384615,15,"1","1","3"
229186,398,0.861809045,1,0,"0","1","3"
229213,407,0.788697789,0.833333333333333,0,"0","1","2"
229218,394,0.710659898,0.6,9,"1","1","3"
229307,366,0.557377049,0.714285714285714,18,"1","1","1"
229318,399,0.804511278,1,0,"0","1","1"
229319,300,0.593333333,0.333333333333333,5,"1","1","3"
229323,293,0.740614334,0.538461538461538,6,"1","1","1"
229326,383,0.817232376,1,0,"0","1","2"
229329,393,0.539440204,0.5,0,"0","1","3"
229332,310,0.690322581,0.5,5,"1","1","2"
229337,415,0.74939759,0.304347826086957,54,"1","1","2"
229338,399,0.789473684,0.5,0,"0","1","2"
229339,404,0.747524752,0.785714285714286,5,"1","1","1"
229342,397,0.788413098,0.857142857142857,10,"1","1","2"
229349,408,0.727941176,0.716981132075472,46,"1","1","3"
229350,401,0.74563591,0.738095238095238,18,"1","1","1"
229360,411,0.773722628,0.75,0,"0","1","1"
229372,409,0.542787286,0.833333333333333,0,"0","1","3"
229381,399,0.766917293,0.5,0,"0","1","3"
229396,398,0.851758794,0.411764705882353,76,"1","1","3"
229397,398,0.75879397,0.851851851851852,17,"1","1","3"
229407,398,0.907035176,0.928571428571429,0,"0","1","1"
229411,401,0.713216958,0.733333333333333,23,"1","1","3"
229421,402,0.723880597,1,0,"0","1","3"
229427,398,0.771356784,0.875,1,"1","1","1"
229430,403,0.799007444,1,0,"0","1","1"
229452,398,0.695979899,0.5,0,"0","1","3"
229460,403,0.771712159,0.714285714285714,5,"1","1","2"
229463,458,0.46069869,0.333333333333333,5,"1","1","2"
229469,401,0.800498753,1,0,"0","1","2"
229476,421,0.755344418,1,0,"0","1","1"
229565,403,0.813895782,0.882352941176471,0,"0","1","3"
230180,390,0.748717949,0.634146341463415,61,"1","1","3"
230891,930,0.674193548,1,0,"0","1","2"
230900,982,0.735234216,0.75,0,"0","1","3"
231040,74,0.27027027,0.285714285714286,15,"1","0","1"
231250,333,0.618618619,1,0,"0","1","1"
231516,561,0.666666667,0.857142857142857,5,"1","1","3"
231595,445,0.579775281,1,0,"0","1","3"
231601,487,0.737166324,0.8,0,"0","1","1"
231605,481,0.781704782,0.833333333333333,0,"0","1","2"
231610,514,0.651750973,0.714285714285714,9,"1","1","2"
231614,444,0.632882883,1,0,"0","1","3"
231687,425,0.637647059,0.5,0,"0","1","2"
231688,475,0.875789474,0.857142857142857,0,"0","1","3"
231693,456,0.710526316,1,0,"0","1","3"
232837,73,0.606164384,0,0,"0","1","3"
233649,1243,0.788616251,1,0,"0","1","1"
233915,394,0.695431472,0.909090909090909,0,"0","1","2"
234809,238,0.571428571,0.857142857142857,4,"1","1","3"
234817,161,0.459627329,0.25,9,"1","1","2"
234861,139,0.568345324,1,0,"0","1","2"
234984,70,0.757142857,0,5,"1","1","2"
235002,132,0.46969697,0.5,0,"0","1","1"
235003,41,0.414634146,0,0,"0","1","3"
235018,102,0.568627451,0.8,5,"1","1","1"
235094,76,0.644736842,0,0,"0","1","3"
235095,60,0.65,0.666666666666667,0,"0","1","2"
235096,123,0.658536585,0.857142857142857,0,"0","1","2"
235106,112,0.598214286,1,0,"0","1","3"
235108,116,0.612068966,1,0,"0","1","3"
236026,120,0.479166667,0.666666666666667,0,"0","1","3"
236027,90,0.466666667,0.333333333333333,5,"1","1","1"
236029,116,0.560344828,0.333333333333333,5,"1","1","3"
236030,112,0.703125,0.5,0,"0","1","2"
236032,79,0.544303797,0.333333333333333,1,"1","1","1"
236045,235,0.817021277,0,0,"0","1","3"
236065,255,0.82745098,1,0,"0","1","2"
236069,208,0.826923077,0.647058823529412,11,"1","1","1"
236165,129,0.682170543,0.333333333333333,9,"1","1","2"
236167,125,0.774,1,0,"0","1","1"
236169,130,0.669230769,0.5,0,"0","1","1"
236170,69,0.757246377,0.333333333333333,5,"1","1","2"
236171,148,0.618243243,0.5,0,"0","1","3"
236174,103,0.594660194,0.333333333333333,5,"1","1","2"
236175,98,0.724489796,1,0,"0","1","1"
236181,143,0.713286713,0.857142857142857,2,"1","1","1"
236192,122,0.639344262,0.833333333333333,0,"0","1","2"
236193,131,0.494274809,0.333333333333333,5,"1","1","2"
236195,109,0.607798165,1,0,"0","1","3"
236198,89,0.536516854,0,0,"0","1","3"
236200,114,0.719298246,1,0,"0","1","2"
240008,100,0.73,0.65,13,"1","1","3"
240009,18,0.611111111,0.75,9,"1","1","2"
240010,86,0.813953488,1,0,"0","1","2"
240012,80,0.75,0.75,5,"1","1","2"
240024,55,0.563636364,1,0,"0","1","3"
240025,67,0.850746269,0.818181818181818,8,"1","1","3"
240026,93,0.709677419,0.8,1,"1","1","1"
240027,87,0.75862069,0.647058823529412,8,"1","1","1"
240033,87,0.75862069,1,0,"0","1","1"
240039,37,0.459459459,0.566666666666667,50,"1","1","3"
240100,56,0.660714286,0.833333333333333,5,"1","1","2"
240102,95,0.673684211,0.869565217391304,12,"1","1","1"
240103,69,0.753623188,1,0,"0","1","3"
240104,102,0.725490196,0.75,0,"0","1","3"
240105,84,0.785714286,1,0,"0","1","3"
240106,45,0.8,0.857142857142857,4,"1","1","2"
240109,87,0.850574713,1,0,"0","1","1"
240111,95,0.747368421,0.833333333333333,1,"1","1","1"
240225,96,0.697916667,1,0,"0","1","2"
240226,97,0.680412371,0.833333333333333,0,"0","1","2"
240227,97,0.742268041,0.857142857142857,10,"1","1","1"
240228,45,0.711111111,0.928571428571429,5,"1","1","1"
240229,74,0.689189189,1,0,"0","1","1"
240230,133,0.654135338,0.8,9,"1","1","2"
240231,87,0.643678161,1,0,"0","1","1"
240232,105,0.704761905,1,0,"0","1","1"
240233,146,0.712328767,0.818181818181818,0,"0","1","3"
240296,96,0.604166667,1,0,"0","1","1"
240297,115,0.6,0.615384615384615,14,"1","1","1"
240298,92,0.706521739,0.785714285714286,0,"0","1","2"
240299,89,0.584269663,1,0,"0","1","2"
240323,100,0.7,1,0,"0","1","2"
240465,103,0.495145631,0.413793103448276,75,"1","1","2"
240698,26,0.423076923,0.5,0,"0","1","3"
240840,122,0.795081967,0.9,0,"0","1","2"
240845,130,0.846153846,0.875,4,"1","1","1"
240847,3,0.333333333,1,0,"0","0","3"
240849,29,0.655172414,1,0,"0","1","2"
240853,90,0.622222222,1,0,"0","1","3"
240855,48,0.6875,0.5,0,"0","1","3"
240857,85,0.752941176,0.666666666666667,0,"0","1","2"
240858,71,0.647887324,0.333333333333333,0,"0","1","2"
240859,83,0.879518072,0.4,4,"1","1","2"
240860,106,0.820754717,1,0,"0","1","2"
241158,79,0.696202532,0.714285714285714,5,"1","1","3"
242073,74,0.554054054,0.333333333333333,0,"0","1","1"
242959,29,0.810344828,0.333333333333333,6,"1","1","3"
242960,29,0.439655172,0.333333333333333,13,"1","1","1"
242961,48,0.505208333,0.5,0,"0","1","3"
242962,29,0.732758621,0.285714285714286,16,"1","1","3"
242963,29,0.629310345,0.5,9,"1","1","1"
242965,29,0.948275862,0.642857142857143,17,"1","1","2"
242966,29,0.568965517,0.333333333333333,5,"1","1","2"
242970,29,0.379310345,0.5,0,"0","0","2"
242981,29,0.698275862,0,0,"0","1","1"
243306,29,0.862068966,0.5,1,"1","1","2"
243308,39,0.576923077,0.5,0,"0","1","2"
243378,0,0,0.5,18,"1","0","2"
243382,0,0,0.5,0,"0","0","3"
243385,0,0,0.5,0,"0","0","1"
243388,0,0,0.6,5,"1","0","1"
246906,63,0.682539683,0.75,26,"1","1","3"
247301,50,0.62,0.8,9,"1","1","3"
247302,12,0.833333333,0.9,0,"0","1","1"
247303,7,0.857142857,0.5,0,"0","1","2"
247309,20,0.7,0,1,"1","1","2"
247310,3,0.333333333,1,0,"0","0","1"
247312,14,0.714285714,0,5,"1","1","3"
247314,10,0.7,0,0,"0","1","2"
247317,9,0.555555556,0.333333333333333,18,"1","1","1"
247865,41,0.609756098,0.714285714285714,0,"0","1","3"
247923,53,0.773584906,1,0,"0","1","1"
249401,68,0.661764706,1,0,"0","1","2"
249402,41,0.707317073,1,0,"0","1","2"
249403,46,0.673913043,0.8125,1,"1","1","3"
249404,10,0.5,1,0,"0","1","2"
249410,47,0.808510638,1,0,"0","1","2"
251080,4,1,0.785714285714286,7,"1","1","3"
251082,6,0.666666667,0.5,1,"1","1","3"
251083,5,0.4,0.5,0,"0","1","3"
251085,1,1,0.333333333333333,0,"0","1","1"
251087,1,1,0,0,"0","1","3"
251089,6,0.833333333,0.6,3,"1","1","2"
251092,1,1,0.571428571428571,36,"1","1","1"
251382,20,0.85,0.5,0,"0","1","2"
251990,1,1,0.48,52,"1","1","1"
252280,15,0.8,1,0,"0","1","3"
253464,9,0.222222222,1,0,"0","0","3"
253517,6,0.833333333,0.5625,9,"1","1","1"
254598,0,0,1,0,"0","0","3"
255198,0,0,0.333333333333333,7,"1","0","1"
255200,0,0,0,0,"0","0","2"
255201,0,0,0,0,"0","0","3"
255422,0,0,0.5,0,"0","0","3"
255424,0,0,0,0,"0","0","2"
255427,0,0,0.5,0,"0","0","3"
255428,0,0,0.5,1,"1","0","2"
255432,0,0,0,0,"0","0","1"
255437,0,0,0.290322580645161,95,"1","0","3"
255494,12,0.75,0.666666666666667,2,"1","1","3"
255995,0,0,1,0,"0","0","3"
257744,0,0,0,6,"1","0","1"
259687,0,0,0.833333333333333,5,"1","0","3"
259735,0,0,0.391304347826087,54,"1","0","2"
259736,0,0,0.5,5,"1","0","3"
259737,0,0,0.5,5,"1","0","3"
259739,0,0,0.5,14,"1","0","3"
259829,0,0,1,0,"0","0","2"
272872,0,0,0,0,"0","0","1"
275617,0,0,0.857142857142857,0,"0","0","3"
275620,0,0,1,0,"0","0","1"
275626,0,0,0.833333333333333,0,"0","0","2"
275629,0,0,1,0,"0","0","1"
275643,0,0,1,0,"0","0","2"
275838,0,0,1,0,"0","0","3"
276228,0,0,0.833333333333333,5,"1","0","2"
276266,0,0,0.666666666666667,0,"0","0","3"
276513,0,0,1,0,"0","0","1"
278482,0,0,0.5,0,"0","0","1"
278492,0,0,0.8,0,"0","0","3"
278493,0,0,0.631578947368421,3,"1","0","3"
278494,0,0,0.6,2,"1","0","2"
278496,0,0,0.857142857142857,0,"0","0","1"
278498,0,0,0.8,2,"1","0","2"
278499,0,0,0.833333333333333,0,"0","0","1"
278500,0,0,0.857142857142857,1,"1","0","1"
278502,0,0,0.8,3,"1","0","3"
279536,0,0,1,0,"0","0","3"
279537,0,0,0.611111111111111,18,"1","0","1"
279538,0,0,0.55,9,"1","0","1"
279540,0,0,0.35,36,"1","0","3"
279541,0,0,1,0,"0","0","2"
279542,0,0,1,0,"0","0","2"
282501,0,0,1,0,"0","0","1"
282734,0,0,0.666666666666667,0,"0","0","1"
282735,0,0,1,0,"0","0","1"
282736,0,0,0.5,4,"1","0","2"
282737,0,0,0.5,0,"0","0","3"
282738,0,0,1,0,"0","0","2"
282787,0,0,0.909090909090909,0,"0","0","3"
282796,0,0,1,0,"0","0","3"
282797,0,0,1,0,"0","0","2"
282799,0,0,0.8,0,"0","0","1"
282802,0,0,0.7,4,"1","0","1"
282804,0,0,1,0,"0","0","2"
282805,0,0,1,0,"0","0","1"
282807,0,0,0.875,2,"1","0","2"
282808,0,0,0.791666666666667,0,"0","0","1"
282816,0,0,1,0,"0","0","2"
282825,0,0,1,0,"0","0","3"
282831,0,0,0.857142857142857,0,"0","0","2"
282832,0,0,1,0,"0","0","2"
282834,0,0,0.8,0,"0","0","2"
282835,0,0,0.75,0,"0","0","2"
282837,0,0,0.666666666666667,0,"0","0","3"
282838,0,0,0.793103448275862,0,"0","0","3"
282841,0,0,1,0,"0","0","1"
282842,0,0,1,0,"0","0","1"
282852,0,0,1,0,"0","0","3"
282853,0,0,0.777777777777778,7,"1","0","2"
282857,0,0,0.833333333333333,1,"1","0","1"
283012,0,0,1,0,"0","0","1"
283013,0,0,0.5,0,"0","0","2"
283015,0,0,0.833333333333333,0,"0","0","2"
283016,0,0,0.8,1,"1","0","3"
283026,0,0,0.8,0,"0","0","2"
283240,0,0,0.833333333333333,0,"0","0","1"
283567,0,0,0.928571428571429,0,"0","0","1"
283908,0,0,0.9,0,"0","0","1"
284041,0,0,0.785714285714286,0,"0","0","1"
284252,0,0,0.714285714285714,5,"1","0","1"
284729,0,0,1,0,"0","0","3"
284730,0,0,0.5,4,"1","0","3"
284732,0,0,0.5,2,"1","0","2"
284733,0,0,0.428571428571429,13,"1","0","1"
284734,0,0,0.5,2,"1","0","1"
284735,0,0,0.571428571428571,9,"1","0","3"
284736,0,0,0.333333333333333,1,"1","0","1"
284737,0,0,0.666666666666667,3,"1","0","2"
284738,0,0,0.571428571428571,10,"1","0","2"
284739,0,0,0.75,2,"1","0","3"
284740,0,0,0.5,0,"0","0","1"
284741,0,0,0.666666666666667,0,"0","0","1"
284744,0,0,0.333333333333333,0,"0","0","1"
284747,0,0,0.333333333333333,13,"1","0","3"
284753,0,0,0.666666666666667,5,"1","0","3"
284765,0,0,0.5,2,"1","0","1"
284766,0,0,0.666666666666667,0,"0","0","1"
284767,0,0,0.5,4,"1","0","1"
284769,0,0,0.333333333333333,0,"0","0","1"
285591,0,0,0.5,0,"0","0","2"
285617,0,0,0,0,"0","0","2"
285944,0,0,0.5,0,"0","0","1"
289837,0,0,0.25,6,"1","0","2"
289851,0,0,1,0,"0","0","1"
289921,0,0,0.666666666666667,5,"1","0","3"
290158,0,0,1,0,"0","0","2"
291051,0,0,0.8,3,"1","0","1"
291052,0,0,0.5,0,"0","0","1"
291097,0,0,1,0,"0","0","1"
291142,0,0,0.5,0,"0","0","1"
291188,0,0,1,0,"0","0","1"
293502,0,0,0.333333333333333,0,"0","0","1"
293503,0,0,0.625,0,"0","0","1"
293504,0,0,0.5,2,"1","0","1"
293505,0,0,1,0,"0","0","1"
293508,0,0,0.833333333333333,0,"0","0","2"
293509,0,0,1,0,"0","0","2"
293510,0,0,1,0,"0","0","2"
293513,0,0,0.5,1,"1","0","1"
293517,0,0,0.5,0,"0","0","3"
293533,0,0,0.333333333333333,0,"0","0","3"
293536,0,0,0.666666666666667,0,"0","0","2"
293544,0,0,0.5,0,"0","0","2"
293545,0,0,0.5,4,"1","0","1"
293633,0,0,0.5,0,"0","0","1"
293635,0,0,0.333333333333333,2,"1","0","2"
293636,0,0,0.5,1,"1","0","2"
293646,0,0,0.857142857142857,1,"1","0","3"
293650,0,0,0.5,2,"1","0","2"
293655,0,0,0.5,0,"0","0","1"
293664,0,0,1,0,"0","0","1"
293666,0,0,1,0,"0","0","2"
293667,0,0,0.428571428571429,0,"0","0","3"
293668,0,0,0.666666666666667,0,"0","0","2"
293669,0,0,0.666666666666667,0,"0","0","2"
293681,0,0,0.333333333333333,0,"0","0","3"
293705,0,0,0.5,0,"0","0","3"
293707,0,0,0.333333333333333,0,"0","0","2"
293709,0,0,0.5,0,"0","0","3"
293711,0,0,0.666666666666667,2,"1","0","2"
293713,0,0,0.666666666666667,0,"0","0","3"
293714,0,0,0.714285714285714,1,"1","0","1"
293715,0,0,0.333333333333333,2,"1","0","3"
293716,0,0,1,0,"0","0","2"
293717,0,0,1,0,"0","0","2"
293719,0,0,0.333333333333333,2,"1","0","2"
293721,0,0,0.666666666666667,0,"0","0","2"
293726,0,0,0.333333333333333,1,"1","0","3"
294066,0,0,0.571428571428571,0,"0","0","3"
294068,0,0,0,0,"0","0","3"
294072,0,0,0.666666666666667,0,"0","0","2"
294445,0,0,1,0,"0","0","2"
294447,0,0,0.333333333333333,5,"1","0","3"
294449,0,0,0.5,1,"1","0","2"
294450,0,0,0.333333333333333,0,"0","0","2"
294453,0,0,0.333333333333333,7,"1","0","3"
294454,0,0,0.5,0,"0","0","3"
294455,0,0,0.5,0,"0","0","1"
294457,0,0,0.5,0,"0","0","3"
294458,0,0,0.5,5,"1","0","1"
294459,0,0,0.5,0,"0","0","1"
294460,0,0,0,0,"0","0","2"
294462,0,0,0.5,0,"0","0","1"
294463,0,0,0.4,NA,NA,"0","1"
